DATE,A939RX0Q048SBEA
2001-01-01,46531.0
2001-04-01,46693.0
2001-07-01,46378.0
2001-10-01,46386.0
2002-01-01,46690.0
2002-04-01,46868.0
2002-07-01,46958.0
2002-10-01,46916.0
2003-01-01,47078.0
2003-04-01,47378.0
2003-07-01,48063.0
2003-10-01,48499.0
2004-01-01,48663.0
2004-04-01,48927.0
2004-07-01,49267.0
2004-10-01,49637.0
2005-01-01,50081.0
2005-04-01,50204.0
2005-07-01,50523.0
2005-10-01,50715.0
2006-01-01,51277.0
2006-04-01,51281.0
2006-07-01,51228.0
2006-10-01,51532.0
2007-01-01,51540.0
2007-04-01,51719.0
2007-07-01,51866.0
2007-10-01,52049.0
2008-01-01,51637.0
2008-04-01,51790.0
2008-07-01,51384.0
2008-10-01,50154.0
2009-01-01,49491.0
2009-04-01,49318.0
2009-07-01,49384.0
2009-10-01,49811.0
2010-01-01,49903.0
2010-04-01,50272.0
2010-07-01,50545.0
2010-10-01,50698.0
2011-01-01,50495.0
2011-04-01,50773.0
2011-07-01,50660.0
2011-10-01,51150.0
2012-01-01,51468.0
2012-04-01,51607.0
2012-07-01,51578.0
2012-10-01,51539.0
2013-01-01,51921.0
2013-04-01,51906.0
2013-07-01,52212.0
2013-10-01,52526.0
2014-01-01,52293.0
2014-04-01,52913.0
2014-07-01,53452.0
2014-10-01,53646.0
2015-01-01,53983.0
2015-04-01,54295.0
2015-07-01,54368.0
2015-10-01,54280.0
2016-01-01,54464.0
2016-04-01,54633.0
2016-07-01,54827.0
2016-10-01,55005.0
2017-01-01,55240.0
2017-04-01,55458.0
2017-07-01,55806.0
2017-10-01,56210.0
2018-01-01,56503.0
2018-04-01,56927.0
2018-07-01,57257.0
2018-10-01,57336.0
2019-01-01,57719.0
2019-04-01,57946.0
2019-07-01,58167.0
2019-10-01,58386.0
