DATE,MFTCMAHDFS
2000-01-01,1036.67
2000-04-01,1030.182
2000-07-01,1054.17
2000-10-01,1059.183
2001-01-01,1096.505
2001-04-01,1130.398
2001-07-01,1133.028
2001-10-01,1159.988
2002-01-01,1198.503
2002-04-01,1232.397
2002-07-01,1298.23
2002-10-01,1324.906
2003-01-01,1372.79
2003-04-01,1463.548
2003-07-01,1451.768
2003-10-01,1473.844
2004-01-01,1455.043
2004-04-01,1480.645
2004-07-01,1524.266
2004-10-01,1548.372
2005-01-01,1540.855
2005-04-01,1595.992
2005-07-01,1624.778
2005-10-01,1646.30
2006-01-01,1671.636
2006-04-01,1684.793
2006-07-01,1759.213
2006-10-01,1837.417
2007-01-01,1904.158
2007-04-01,1965.443
2007-07-01,2027.95
2007-10-01,2100.121
2008-01-01,2099.117
2008-04-01,2135.132
2008-07-01,2050.74
2008-10-01,1891.849
2009-01-01,1969.797
2009-04-01,2160.653
2009-07-01,2408.359
2009-10-01,2515.185
2010-01-01,2679.671
2010-04-01,2830.132
2010-07-01,3007.57
2010-10-01,2991.052
2011-01-01,2961.624
2011-04-01,3036.039
2011-07-01,3043.186
2011-10-01,3251.415
2012-01-01,3463.278
2012-04-01,3590.568
2012-07-01,3768.98
2012-10-01,3847.07
2013-01-01,3967.646
2013-04-01,3820.551
2013-07-01,3765.087
2013-10-01,3775.323
2014-01-01,3833.005
2014-04-01,3952.402
2014-07-01,3948.784
2014-10-01,3989.048
2015-01-01,4092.753
2015-04-01,4076.515
2015-07-01,4022.818
2015-10-01,3973.09
2016-01-01,4074.987
2016-04-01,4243.179
2016-07-01,4361.60
2016-10-01,4234.559
2017-01-01,4357.472
2017-04-01,4513.523
2017-07-01,4616.204
2017-10-01,4688.181
2018-01-01,4740.382
2018-04-01,4797.704
2018-07-01,4845.764
2018-10-01,4705.02
2019-01-01,4888.613
2019-04-01,5064.607
2019-07-01,5227.403
