DATE,WILLLRGCAP
2/22/2000,28994
2/23/2000,29334
2/24/2000,29281
2/25/2000,28881
2/28/2000,29155
2/29/2000,29637
3/1/2000,29976
3/2/2000,29977
3/3/2000,30654
3/6/2000,30312
3/7/2000,29584
3/8/2000,29796
3/9/2000,30559
3/10/2000,30422
3/13/2000,30081
3/14/2000,29475
3/15/2000,29975
3/16/2000,31412
3/17/2000,31601
3/20/2000,31259
3/21/2000,32020
3/22/2000,32294
3/23/2000,32838
3/24/2000,32882
3/27/2000,32773
3/28/2000,32387
3/29/2000,32260
3/30/2000,31804
3/31/2000,32165
4/3/2000,31876
4/4/2000,31623
4/5/2000,31549
4/6/2000,31931
4/7/2000,32336
4/10/2000,31831
4/11/2000,31622
4/12/2000,30801
4/13/2000,30245
4/14/2000,28376
4/17/2000,29282
4/18/2000,30292
4/19/2000,30009
4/20/2000,30081
4/24/2000,29872
4/25/2000,30964
4/26/2000,30580
4/27/2000,30785
4/28/2000,30718
5/1/2000,31069
5/2/2000,30460
5/3/2000,29842
5/4/2000,29805
5/5/2000,30250
5/8/2000,30014
5/9/2000,29706
5/10/2000,28975
5/11/2000,29561
5/12/2000,29820
5/15/2000,30499
5/16/2000,30877
5/17/2000,30467
5/18/2000,30177
5/19/2000,29474
5/22/2000,29318
5/23/2000,28660
5/24/2000,29181
5/25/2000,28804
5/26/2000,28761
5/30/2000,29831
5/31/2000,29771
6/1/2000,30480
6/2/2000,31275
6/5/2000,31100
6/6/2000,30826
6/7/2000,31188
6/8/2000,30975
6/9/2000,30915
6/12/2000,30590
6/13/2000,31084
6/14/2000,31048
6/15/2000,31221
6/16/2000,30972
6/19/2000,31519
6/20/2000,31393
6/21/2000,31481
6/22/2000,30885
6/23/2000,30582
6/26/2000,30858
6/27/2000,30708
6/28/2000,30868
6/29/2000,30623
6/30/2000,30895
7/3/2000,31197
7/5/2000,30694
7/6/2000,30969
7/7/2000,31449
7/10/2000,31368
7/11/2000,31431
7/12/2000,31775
7/13/2000,31919
7/14/2000,32254
7/17/2000,32275
7/18/2000,31860
7/19/2000,31537
7/20/2000,31935
7/21/2000,31575
7/24/2000,31151
7/25/2000,31342
7/26/2000,30909
7/27/2000,30747
7/28/2000,30063
7/31/2000,30347
8/1/2000,30454
8/2/2000,30455
8/3/2000,30810
8/4/2000,31064
8/7/2000,31427
8/8/2000,31487
8/9/2000,31280
8/10/2000,31007
8/11/2000,31272
8/14/2000,31686
8/15/2000,31541
8/16/2000,31457
8/17/2000,31837
8/18/2000,31742
8/21/2000,31896
8/22/2000,31893
8/23/2000,32096
8/24/2000,32174
8/25/2000,32142
8/28/2000,32308
8/29/2000,32254
8/30/2000,32179
8/31/2000,32541
9/1/2000,32632
9/5/2000,32323
9/6/2000,31950
9/7/2000,32189
9/8/2000,31972
9/11/2000,31852
9/12/2000,31707
9/13/2000,31797
9/14/2000,31750
9/15/2000,31392
9/18/2000,30879
9/19/2000,31271
9/20/2000,31149
9/21/2000,31064
9/22/2000,31138
9/25/2000,30962
9/26/2000,30697
9/27/2000,30685
9/28/2000,31396
9/29/2000,30967
10/2/2000,30813
10/3/2000,30460
10/4/2000,30658
10/5/2000,30638
10/6/2000,30015
10/9/2000,29911
10/10/2000,29520
10/11/2000,29006
10/12/2000,28194
10/13/2000,29265
10/16/2000,29328
10/17/2000,28783
10/18/2000,28579
10/19/2000,29619
10/20/2000,29865
10/23/2000,29856
10/24/2000,29834
10/25/2000,29123
10/26/2000,29111
10/27/2000,29423
10/30/2000,29689
10/31/2000,30473
11/1/2000,30321
11/2/2000,30593
11/3/2000,30566
11/6/2000,30645
11/7/2000,30629
11/8/2000,30033
11/9/2000,29774
11/10/2000,28999
11/13/2000,28615
11/14/2000,29375
11/15/2000,29554
11/16/2000,29100
11/17/2000,28946
11/20/2000,28274
11/21/2000,28304
11/22/2000,27724
11/24/2000,28269
11/27/2000,28372
11/28/2000,27965
11/29/2000,28074
11/30/2000,27511
12/1/2000,27593
12/4/2000,27751
12/5/2000,28990
12/6/2000,28476
12/7/2000,28326
12/8/2000,29079
12/11/2000,29384
12/12/2000,29117
12/13/2000,28816
12/14/2000,28327
12/15/2000,27753
12/18/2000,27949
12/19/2000,27504
12/20/2000,26543
12/21/2000,26693
12/22/2000,27483
12/26/2000,27643
12/27/2000,27985
12/28/2000,28162
12/29/2000,27814
1/2/2001,26886
1/3/2001,28341
1/4/2001,27981
1/5/2001,27163
1/8/2001,27095
1/9/2001,27238
1/10/2001,27594
1/11/2001,27934
1/12/2001,27784
1/16/2001,27957
1/17/2001,28060
1/18/2001,28413
1/19/2001,28282
1/22/2001,28286
1/23/2001,28707
1/24/2001,28814
1/25/2001,28600
1/26/2001,28576
1/29/2001,28801
1/30/2001,28981
1/31/2001,28771
2/1/2001,28899
2/2/2001,28352
2/5/2001,28426
2/6/2001,28414
2/7/2001,28160
2/8/2001,27977
2/9/2001,27580
2/12/2001,27875
2/13/2001,27615
2/14/2001,27606
2/15/2001,27859
2/16/2001,27349
2/20/2001,26829
2/21/2001,26342
2/22/2001,26254
2/23/2001,26150
2/26/2001,26643
2/27/2001,26370
2/28/2001,25978
3/1/2001,26001
3/2/2001,25834
3/5/2001,25993
3/6/2001,26261
3/7/2001,26422
3/8/2001,26424
3/9/2001,25751
3/12/2001,24618
3/13/2001,25035
3/14/2001,24397
3/15/2001,24510
3/16/2001,24005
3/19/2001,24455
3/20/2001,23848
3/21/2001,23411
3/22/2001,23324
3/23/2001,23795
3/26/2001,24071
3/27/2001,24682
3/28/2001,24054
3/29/2001,23930
3/30/2001,24200
4/2/2001,23870
4/3/2001,23013
4/4/2001,22944
4/5/2001,23996
4/6/2001,23521
4/9/2001,23720
4/10/2001,24380
4/11/2001,24345
4/12/2001,24716
4/16/2001,24621
4/17/2001,24900
4/18/2001,25871
4/19/2001,26230
4/20/2001,26008
4/23/2001,25589
4/24/2001,25270
4/25/2001,25682
4/26/2001,25798
4/27/2001,26186
4/30/2001,26166
5/1/2001,26522
5/2/2001,26568
5/3/2001,26161
5/4/2001,26538
5/7/2001,26455
5/8/2001,26416
5/9/2001,26287
5/10/2001,26269
5/11/2001,26076
5/14/2001,26128
5/15/2001,26137
5/16/2001,26886
5/17/2001,26989
5/18/2001,27044
5/21/2001,27524
5/22/2001,27461
5/23/2001,27008
5/24/2001,27113
5/25/2001,26814
5/29/2001,26563
5/30/2001,26131
5/31/2001,26319
6/1/2001,26440
6/4/2001,26569
6/5/2001,26943
6/6/2001,26673
6/7/2001,26818
6/8/2001,26552
6/11/2001,26305
6/12/2001,26322
6/13/2001,26033
6/14/2001,25546
6/15/2001,25434
6/18/2001,25308
6/19/2001,25390
6/20/2001,25656
6/21/2001,25930
6/22/2001,25684
6/25/2001,25541
6/26/2001,25507
6/27/2001,25420
6/28/2001,25752
6/29/2001,25750
7/2/2001,25973
7/3/2001,25933
7/5/2001,25607
7/6/2001,25018
7/9/2001,25175
7/10/2001,24812
7/11/2001,24784
7/12/2001,25378
7/13/2001,25527
7/16/2001,25242
7/17/2001,25503
7/18/2001,25345
7/19/2001,25479
7/20/2001,25394
7/23/2001,24987
7/24/2001,24579
7/25/2001,24943
7/26/2001,25223
7/27/2001,25282
7/30/2001,25254
7/31/2001,25392
8/1/2001,25496
8/2/2001,25597
8/3/2001,25472
8/6/2001,25185
8/7/2001,25252
8/8/2001,24816
8/9/2001,24805
8/10/2001,24931
8/13/2001,24974
8/14/2001,24884
8/15/2001,24700
8/16/2001,24751
8/17/2001,24343
8/20/2001,24532
8/21/2001,24242
8/22/2001,24409
8/23/2001,24341
8/24/2001,24800
8/27/2001,24697
8/28/2001,24331
8/29/2001,24072
8/30/2001,23671
8/31/2001,23771
9/4/2001,23762
9/5/2001,23710
9/6/2001,23201
9/7/2001,22777
9/10/2001,22905
9/17/2001,21763
9/18/2001,21615
9/19/2001,21273
9/20/2001,20643
9/21/2001,20254
9/24/2001,21027
9/25/2001,21193
9/26/2001,21087
9/27/2001,21334
9/28/2001,21806
10/1/2001,21738
10/2/2001,21992
10/3/2001,22465
10/4/2001,22413
10/5/2001,22434
10/8/2001,22253
10/9/2001,22145
10/10/2001,22649
10/11/2001,23013
10/12/2001,22881
10/15/2001,22853
10/16/2001,23019
10/17/2001,22562
10/18/2001,22398
10/19/2001,22510
10/22/2001,22856
10/23/2001,22750
10/24/2001,22761
10/25/2001,23074
10/26/2001,23160
10/29/2001,22616
10/30/2001,22221
10/31/2001,22234
11/1/2001,22723
11/2/2001,22775
11/5/2001,23105
11/6/2001,23446
11/7/2001,23388
11/8/2001,23427
11/9/2001,23450
11/12/2001,23420
11/13/2001,23849
11/14/2001,23910
11/15/2001,23927
11/16/2001,23851
11/19/2001,24112
11/20/2001,23932
11/21/2001,23818
11/23/2001,24091
11/26/2001,24260
11/27/2001,24111
11/28/2001,23691
11/29/2001,23947
11/30/2001,23918
12/3/2001,23721
12/4/2001,24040
12/5/2001,24584
12/6/2001,24533
12/7/2001,24341
12/10/2001,23967
12/11/2001,23913
12/12/2001,23920
12/13/2001,23562
12/14/2001,23640
12/17/2001,23873
12/18/2001,24061
12/19/2001,24193
12/20/2001,23992
12/21/2001,24096
12/24/2001,24094
12/26/2001,24205
12/27/2001,24374
12/28/2001,24472
12/31/2001,24209
1/2/2002,24335
1/3/2002,24557
1/4/2002,24718
1/7/2002,24557
1/8/2002,24472
1/9/2002,24360
1/10/2002,24380
1/11/2002,24176
1/14/2002,24003
1/15/2002,24179
1/16/2002,23794
1/17/2002,24045
1/18/2002,23801
1/22/2002,23622
1/23/2002,23820
1/24/2002,23912
1/25/2002,23940
1/28/2002,23946
1/29/2002,23317
1/30/2002,23570
1/31/2002,23904
2/1/2002,23728
2/4/2002,23171
2/5/2002,23104
2/6/2002,22949
2/7/2002,22874
2/8/2002,23229
2/11/2002,23546
2/12/2002,23464
2/13/2002,23702
2/14/2002,23669
2/15/2002,23393
2/19/2002,22950
2/20/2002,23255
2/21/2002,22912
2/22/2002,23087
2/25/2002,23494
2/26/2002,23505
2/27/2002,23516
2/28/2002,23459
3/1/2002,23988
3/4/2002,24450
3/5/2002,24309
3/6/2002,24650
3/7/2002,24531
3/8/2002,24691
3/11/2002,24761
3/12/2002,24702
3/13/2002,24474
3/14/2002,24458
3/15/2002,24745
3/18/2002,24751
3/19/2002,24836
3/20/2002,24453
3/21/2002,24504
3/22/2002,24398
3/25/2002,24044
3/26/2002,24184
3/27/2002,24312
3/28/2002,24376
4/1/2002,24356
4/2/2002,24137
4/3/2002,23899
4/4/2002,23925
4/5/2002,23865
4/8/2002,23938
4/9/2002,23788
4/10/2002,24055
4/11/2002,23508
4/12/2002,23672
4/15/2002,23507
4/16/2002,24034
4/17/2002,23983
4/18/2002,23951
4/19/2002,23972
4/22/2002,23613
4/23/2002,23484
4/24/2002,23332
4/25/2002,23306
4/26/2002,22984
4/29/2002,22773
4/30/2002,23031
5/1/2002,23231
5/2/2002,23174
5/3/2002,22935
5/6/2002,22514
5/7/2002,22447
5/8/2002,23276
5/9/2002,22948
