DATE,WILLRESIPR
2/22/2000,76.6
2/23/2000,76.51
2/24/2000,76.17
2/25/2000,76.1
2/28/2000,75.94
2/29/2000,76.75
3/1/2000,76.25
3/2/2000,76.09
3/3/2000,76.23
3/6/2000,76.26
3/7/2000,75.42
3/8/2000,75.55
3/9/2000,75.56
3/10/2000,75.56
3/13/2000,75.43
3/14/2000,76.02
3/15/2000,76.75
3/16/2000,78.22
3/17/2000,78.59
3/20/2000,78.72
3/21/2000,79.01
3/22/2000,79.13
3/23/2000,79.18
3/24/2000,78.92
3/27/2000,78.81
3/28/2000,78.77
3/29/2000,78.73
3/30/2000,78.76
3/31/2000,79.31
4/3/2000,79.14
4/4/2000,79.15
4/5/2000,79.73
4/6/2000,80.99
4/7/2000,81.49
4/10/2000,82.05
4/11/2000,82.58
4/12/2000,83.05
4/13/2000,83.24
4/14/2000,82.31
4/17/2000,82
4/18/2000,82.62
4/19/2000,82.68
4/20/2000,82.67
4/21/2000,
4/24/2000,82.87
4/25/2000,83.41
4/26/2000,83.87
4/27/2000,84.03
4/28/2000,84.61
5/1/2000,86.09
5/2/2000,87.08
5/3/2000,86.56
5/4/2000,86.68
5/5/2000,86.78
5/8/2000,86.39
5/9/2000,86.45
5/10/2000,85.81
5/11/2000,86.26
5/12/2000,86.36
5/15/2000,86.82
5/16/2000,86.87
5/17/2000,86.24
5/18/2000,86.16
5/19/2000,85.94
5/22/2000,85.65
5/23/2000,85.48
5/24/2000,85.07
5/25/2000,84.65
5/26/2000,84.83
5/29/2000,
5/30/2000,85.22
5/31/2000,85.24
6/1/2000,85.19
6/2/2000,85.69
6/5/2000,85.55
6/6/2000,85.95
6/7/2000,86.53
6/8/2000,86.8
6/9/2000,87.1
6/12/2000,87.35
6/13/2000,87.82
6/14/2000,89.47
6/15/2000,88.94
6/16/2000,88.53
6/19/2000,88.74
6/20/2000,89.41
6/21/2000,89.48
6/22/2000,89.29
6/23/2000,89.26
6/26/2000,89.33
6/27/2000,89.79
6/28/2000,89.66
6/29/2000,90.13
6/30/2000,87.33
